query_name,database,execution_time_ms,query_time_ms,return_time_ms,rows_returned,query_type
Q1,PostgreSQL,272.34,203.27,69.06,6026,simple
Q1,PostgreSQL_indexed,68.35,41.81,26.55,8675,simple
Q1,DuckDB,110.54,66.78,43.76,9702,simple
Q1,DuckDB_indexed,115.36,73.41,41.95,1915,simple
Q1,InfluxDB,288.33,197.91,90.42,2983,simple
Q2,PostgreSQL,319.88,210.62,109.26,3726,simple
Q2,PostgreSQL_indexed,125.16,80.1,45.07,5190,simple
Q2,DuckDB,95.63,69.0,26.63,1788,simple
Q2,DuckDB_indexed,45.59,36.16,9.43,8103,simple
Q2,InfluxDB,263.98,194.51,69.47,4457,simple
Q3,PostgreSQL,148.67,90.23,58.45,9102,simple
Q3,PostgreSQL_indexed,91.7,60.74,30.96,5248,simple
Q3,DuckDB,93.83,74.49,19.34,7773,simple
Q3,DuckDB_indexed,144.2,103.76,40.44,9226,simple
Q3,InfluxDB,178.28,108.58,69.7,3320,simple
Q4,PostgreSQL,243.79,186.68,57.11,3631,simple
Q4,PostgreSQL_indexed,92.93,58.38,34.55,8041,simple
Q4,DuckDB,52.89,39.91,12.99,2067,simple
Q4,DuckDB_indexed,37.82,28.04,9.78,7317,simple
Q4,InfluxDB,454.73,305.44,149.29,1247,simple
Q5,PostgreSQL,456.22,303.93,152.3,729,simple
Q5,PostgreSQL_indexed,93.27,69.57,23.7,6411,simple
Q5,DuckDB,136.83,85.37,51.46,7161,simple
Q5,DuckDB_indexed,116.29,87.71,28.58,4988,simple
Q5,InfluxDB,379.65,229.72,149.93,1168,simple
Q6,PostgreSQL,115.64,76.66,38.99,5134,simple
Q6,PostgreSQL_indexed,176.8,120.59,56.21,7579,simple
Q6,DuckDB,59.65,39.25,20.4,1696,simple
Q6,DuckDB_indexed,140.79,102.31,38.48,8727,simple
Q6,InfluxDB,479.58,373.36,106.22,5439,simple
Q7,PostgreSQL,456.48,302.92,153.56,1189,simple
Q7,PostgreSQL_indexed,82.96,63.35,19.61,8621,simple
Q7,DuckDB,40.85,27.92,12.93,2298,simple
Q7,DuckDB_indexed,46.04,36.31,9.73,3299,simple
Q7,InfluxDB,399.03,268.43,130.59,9720,simple
Q8,PostgreSQL,460.9,322.38,138.52,3078,simple
Q8,PostgreSQL_indexed,84.14,60.74,23.4,5076,simple
Q8,DuckDB,43.64,34.11,9.53,2471,simple
Q8,DuckDB_indexed,50.11,39.94,10.17,2496,simple
Q8,InfluxDB,476.14,308.31,167.82,7309,simple
Q1,PostgreSQL,1079.5,858.24,221.27,27252,complex
Q1,PostgreSQL_indexed,435.73,325.98,109.75,10139,complex
Q1,DuckDB,236.85,189.87,46.98,1812,complex
Q1,DuckDB_indexed,542.9,432.57,110.33,9543,complex
Q1,InfluxDB,2267.51,1905.86,361.65,7738,complex
Q2,PostgreSQL,933.4,782.84,150.55,43989,complex
Q2,PostgreSQL_indexed,629.03,517.43,111.6,28204,complex
Q2,DuckDB,591.52,422.32,169.19,44963,complex
Q2,DuckDB_indexed,896.57,673.19,223.38,18111,complex
Q2,InfluxDB,2587.49,2155.54,431.95,39213,complex
Q3,PostgreSQL,1341.36,971.47,369.89,45029,complex
Q3,PostgreSQL_indexed,926.83,662.89,263.94,33511,complex
Q3,DuckDB,190.21,148.8,41.41,34902,complex
Q3,DuckDB_indexed,644.4,519.92,124.48,12625,complex
Q3,InfluxDB,1590.61,1268.42,322.19,42611,complex
Q4,PostgreSQL,1506.73,1075.88,430.85,19018,complex
Q4,PostgreSQL_indexed,586.59,496.22,90.36,20261,complex
Q4,DuckDB,937.6,768.1,169.5,25629,complex
Q4,DuckDB_indexed,623.28,454.55,168.73,36400,complex
Q4,InfluxDB,1282.82,1022.18,260.64,9678,complex
Q5,PostgreSQL,2084.15,1744.91,339.24,19137,complex
Q5,PostgreSQL_indexed,345.84,264.3,81.54,48366,complex
Q5,DuckDB,1039.44,773.52,265.92,19869,complex
Q5,DuckDB_indexed,804.79,583.81,220.98,28283,complex
Q5,InfluxDB,2971.65,2334.26,637.39,5761,complex
I1,PostgreSQL,37.99,32.82,5.17,52,crud
I1,PostgreSQL_indexed,47.27,43.47,3.8,70,crud
I1,DuckDB,18.7,17.41,1.29,81,crud
I1,DuckDB_indexed,38.7,34.87,3.83,50,crud
I1,InfluxDB,46.04,42.79,3.24,89,crud
D1,PostgreSQL,22.93,19.71,3.22,1,crud
D1,PostgreSQL_indexed,30.06,26.95,3.11,1,crud
D1,DuckDB,24.28,22.07,2.21,1,crud
D1,DuckDB_indexed,8.15,7.59,0.55,1,crud
U1,PostgreSQL,22.59,20.38,2.21,1,crud
U1,PostgreSQL_indexed,38.48,35.11,3.38,1,crud
U1,DuckDB,9.77,8.82,0.95,1,crud
U1,DuckDB_indexed,26.0,23.98,2.01,1,crud
